Zone,Division,School,Type,Students,Province,District,School_Type,Location
Kandy,Gangawata Korale,Dharmaraja College,1AB,4895.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"St. Sylvester's College, Kandy",1AB,3619.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Kingswood College, Kandy",1AB,3744.0,Central Province,Kandy District,National schools,
Katugastota,Harispattuwa,"Nugawela Central College, Nugawela",1AB,6500.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Vidyartha College, Kandy",1AB,4200.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Wariyapola Sri Sumangala College, Kandy",1AB,3500.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Sri Rahula College, Kandy",1AB,2362.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Girls' High School, Kandy",1AB,5299.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Mahamaya Girls' College, Kandy",1AB,4569.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"Pushpadana Girls' College, Kandy",1AB,2650.0,Central Province,Kandy District,National schools,
Denuwara,Yatinuwara,"Kadugannawa National School, Kadugannawa",1AB,1038.0,Central Province,Kandy District,National schools,
Denuwara,Yatinuwara,"Sri Swarnajothi National School, Kiribathkumbura",1AB,1932.0,Central Province,Kandy District,National schools,
Denuwara,Udunuwara,"D.B Wijethunga National School, Muruthagahamulla",1AB,730.0,Central Province,Kandy District,National schools,
Denuwara,Udunuwara,"Al Manar National School, Handessa",1AB,1174.0,Central Province,Kandy District,National schools,
Gampola,Udapalatha,"Wickramabahu Central College, Gampola",1AB,1582.0,Central Province,Kandy District,National schools,
Gampola,Udapalatha,"Zahira College, Gampola",1AB,2830.0,Central Province,Kandy District,National schools,
Gampola,Ganga Ihala Korale,"Senadhikari Nationaal School, Udahenthenna",1AB,1065.0,Central Province,Kandy District,National schools,
Gampola,Pasbage Korale,"Anuruddha Kumara National School, Nawalapitiya",1AB,907.0,Central Province,Kandy District,National schools,
Katugastota,Thumpane,"Jabbar National College, Galagedara",1AB,578.0,Central Province,Kandy District,National schools,
Katugastota,Thumpane,"Galagedara Central College, Galagedara",1AB,939.0,Central Province,Kandy District,National schools,
Katugastota,Hatharaliyadda,"Hatharaliyadda Central College, Hatharaliyadda",1AB,1098.0,Central Province,Kandy District,National schools,
Katugastota,Poojapitiya,"Poojapitiya Central College, Poojapitiya",1AB,1056.0,Central Province,Kandy District,National schools,
Katugastota,Poojapitiya,"Al Manar National School, Galhinna",1C,742.0,Central Province,Kandy District,National schools,
Katugastota,Akurana,"Alawathugoda Central College, Alawathugoda",1AB,950.0,Central Province,Kandy District,National schools,
Katugastota,Akurana,"Azhar College, Akurana",1AB,1720.0,Central Province,Kandy District,National schools,
Teldeniya,Medadumbara,"Teldeniya National School, Teldeniya",1AB,1817.0,Central Province,Kandy District,National schools,
Teldeniya,Minipe,"Ranasinghe Premadasa National School, Hasalaka",1AB,1054.0,Central Province,Kandy District,National schools,
Wattegama,Kundasale,"Rajawella National School, Digana",1AB,1237.0,Central Province,Kandy District,National schools,
Wattegama,Pathadumbara,"Madina Central College, Medawela Bazaar",1AB,1909.0,Central Province,Kandy District,National schools,
Kandy,Gangawata Korale,"St. Anthony's College, Kandy",1C,2603.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Ranabima Royal College, Peradeniya",1C,1345.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Berrewerts College, Ampitiya",1C,1076.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"St. Anthony's Girls College, Kandy",1C,3770.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Hemamali Girl's College, Kandy",1C,2354.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Swarnamali Girl's College, Kandy",1C,3409.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Seethadevi Girls College, Kandy",1C,2446.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Viharamahadevi Girl's College, Kandy",1C,2613.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Peradeniya Central College, Peradeniya",1C,1012.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Peradeniya Hindu College, Peradeniya",1C,228.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Hewahata Central College, Thalathuoya",1C,1485.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Enasgolla Central College, Deltota",1C,564.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Badi Uddin Mahmud Girl's College, Kandy",1C,1839.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Bopitiya Rajasinghe National School, Marassana",1C,671.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Marassana National School, Marassana",1C,608.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewahata,"Sri Ramakrishna Central College, Galaha",1C,1232.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Menikdiwela Central College, Menikdiwela",1C,493.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Pilimathalawa Central College, Pilimathalawa",1C,1113.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Sri Dheerananda Maha Vidyalaya, Pilimathalawa",1C,2466.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Sri Pragngnananda Central College, Gelioya",1C,1222.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Jinaraja Boy's College, Gampola",1C,1221.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"St. Joseph's Balika Maha Vidyalaya, Gampola",1C,2762.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Saraswthi Central College, Pussellawa",1C,950.0,Central Province,Kandy District,Provincial schools,
Gampola,Pasbage Korale,"St Andrew's Girls College, Nawalapitiya",1C,1168.0,Central Province,Kandy District,Provincial schools,
Gampola,Pasbage Korale,"Kathiresan Central College, Nawalapitiya",1C,980.0,Central Province,Kandy District,Provincial schools,
Gampola,Ganga Ihala Korale,"Kurunduwatta Royal College, Kurunduwatta Bazaar",1C,1139.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Wimaladharma National School, Gampola",1C,750.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Hindu National College, Pussellawa",1C,1054.0,Central Province,Kandy District,Provincial schools,
Katugastota,Akurana,"Akurana Muslim Balika Maha Vidyalaya, Akurana",1C,1736.0,Central Province,Kandy District,Provincial schools,
Teldeniya,Medadumbara,"Dunhinna Secondary School, Dunhinna",1C,448.0,Central Province,Kandy District,Provincial schools,
Teldeniya,Ududumbara,"Ududumbara Secondary School, Ududumbara",1C,573.0,Central Province,Kandy District,Provincial schools,
Wattegama,Kundasale,"Walala A. Ratnayaka Central College, Menikhinna",1C,1741.0,Central Province,Kandy District,Provincial schools,
Wattegama,Pathadumbara,"Wattegama Central College, Wattegama",1C,1504.0,Central Province,Kandy District,Provincial schools,
Wattegama,Pathadumbara,"Wattegama Balika Maha Vidyalaya, Wattegama",1C,2150.0,Central Province,Kandy District,Provincial schools,
Wattegama,Pujapitiya,"Nalanda Central College, Pujapitiya",1C,745.0,Central Province,Kandy District,Provincial schools,
Wattegama,Panvila,"Rajasingha Central College, Panvila",1C,434.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,Lumbini Royal College Kandy,1C,586.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Mahanama College, Kandy",1C,1647.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"D.S Senanayaka College, Kandy",1C,1368.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Vidyaloka College, Kandy",1C,318.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Risikala Saundarya Vidyalaya, Kandy",1C,179.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Gothami Girl's College, Kandy",1C,1068.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Sarasvi Uyana Maha Vidyalaya, Peradeniya",1C,2778.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Gurudeniya Maha Vidyalaya, Gurudeniya",1C,877.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Mavilmada Maha Vidyalaya, Mavilmada",1C,118.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Siddhartha Maha Vidyalaya, Ampitiya",1C,431.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Seevali Maha Vidyalaya, Hindagala",1C,587.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Dharmawicrama Girls College, Katukale",1C,998.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Zahira Boys College, Katugastota",1C,574.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Kalaimagal Tamil Maha Vidyalayam, Kandy",1C,194.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Sivananda Tamil Maha Vidyalayam, Kandy",1C,165.0,Central Province,Kandy District,Provincial schools,
Kandy,Gangawata Korale,"Vivekanandha College, Kandy",1C,460.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Etulgama Maha Vidyalaya, Etulgama",1C,318.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Badrawathi Maha Vidyalaya, Galaha",1C,430.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Karagaskada Maha Vidyalaya, Deltota",1C,570.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Milapitiya Maha Vidyalaya, Milapitiya",1C,550.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Uduwela Maha Vidyalaya, Uduwela",1C,535.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Haputale Maha Vidyalaya, Talatuoya",1C,586.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Deltota Muslim Maha Vidyalaya, Deltota",1C,933.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Al Husna Muslim Maha Vidyalaya, Udupitiya",1C,297.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Ududeniya Muslim Maha Vidyalaya, Marassana",1C,310.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Talatuoya Tamil Maha Vidyalayam, Talatuoya",1C,190.0,Central Province,Kandy District,Provincial schools,
Kandy,Patha Hewaheta,"Malaimaha Hindu Maha Vidyalayam, Deltota",1C,698.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Danture Central College, Danture",1C,676.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Dodamwala Maha Vidyalaya, Dodamwala",1C,345.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Pelawa Maha Vidyalaya, Muruthalawa",1C,599.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Rattepitiya Maha Vidyalaya, Manikadiwela",1C,164.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Sri Pushpadana Maha Vidyalaya, Peradeniya",1C,781.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Jamaliya Muslim Maha Vidyalaya, Danture",1C,175.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Al Azhar Central College, Dehigama",1C,796.0,Central Province,Kandy District,Provincial schools,
Denuwara,Yatinuwara,"Yahalatenna Muslim Maha Vidyalaya, Yahalatenna",1C,477.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Gadaladeniya Maha Vidyalaya, Pilimatalawa",1C,297.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Pitawalawatta Maha Vidyalaya, Gelioya",1C,121.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Rangama Maha Vidyalaya, Handessa",1C,303.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Lankatilaka Maha Vidyalaya, Handessa",1C,429.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Wattapola Maha Vidyalaya, Wattapola",1C,315.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Wimaladharmasooriya Maha Vidyalaya, Peradeniya",1C,120.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Handessa Maha Vidyalaya, Handessa",1C,476.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Alapalwala Maha Vidyalaya, Handessa",1C,276.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Udaludeniya Maha Vidyalaya, Weligala",1C,599.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Sri Rewatha Maha Vidyalaya, Babagahatle",1C,331.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Kurukuttugala Muslim Maha Vidyalaya, Kadugannawa",1C,571.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Welamboda Muslim Maha Vidyalaya, Welamboda",1C,748.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Arafa Muslim Maha Vidyalaya, Handessa",1C,354.0,Central Province,Kandy District,Provincial schools,
Denuwara,Udunuwara,"Fatima Muslim Balika Maha Vidyalaya, Murutagahamulla",1C,354.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Atabage Udagama Maha Vidyalaya, Maha Udagama",1C,505.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Doluwa Maha Vidyalaya, Doluwa",1C,404.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Nillamba Maha Vidyalaya, Nillamba",1C,758.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Panvilatenna Maha Vidyalaya, Panvilatenna",1C,754.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Wewatenna Maha Vidyalaya, Wewatenna",1C,384.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Devi Balika Maha Vidyalaya, Singhapitiya",1C,296.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Jinaraja Balika Maha Vidyalaya, Gamopola",1C,2317.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Buddhist College, Gampola",1C,1257.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Holy Trinity College, Pussellawa",1C,451.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Kalugamuwa Central College, Gelioya",1C,723.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Galtha Maha Vidyalaya, Yatipiyangala",1C,260.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Al Mina Muslim Maha Vidyalaya, Kahatapitiya",1C,304.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Al Hikma Muslim Maha Vidyalaya, Andiyakadawatta",1C,304.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Gampola Muslim Maha Vidyalaya, Gampola",1C,605.0,Central Province,Kandy District,Provincial schools,
Gampola,Udapalatha,"Gampola Hindu College, Gampola",1C,1041.0,Central Province,Kandy District,Provincial schools,
Gampola,Pasbage Korale,"Rambukpitiya Maha Vidyalaya, Nawalapitiya",1C,343.0,Central Province,Kandy District,Provincial schools,
Gampola,Pasbage Korale,"St. Mary's College, Nawalapitiya",1C,511.0,Central Province,Kandy District,Provincial schools,
Gampola,Pasbage Korale,"Iqra Muslim Maha Vidyalaya, Ulapane",1C,661.0,Central Province,Kandy District,Provincial schools,
Gampola,Pasbage Korale,"Nawalapitiya Muslim Maha Vidyalaya, Nawalapitiya",1C,607.0,Central Province,Kandy District,Provincial schools,
Gampola,Pasbage Korale,"Westhall Tamil Maha Vidyalayam, Kataboola",1C,570.0,Central Province,Kandy District,Provincial schools,
Gampola,Ganga Ihala Korale,"Ulapane Maha Vidyalaya, Ulapane",1C,327.0,Central Province,Kandy District,Provincial schools,
Gampola,Ganga Ihala Korale,"Alutgamage Maha Vidyalaya, Galpaya",1C,680.0,Central Province,Kandy District,Provincial schools,
Gampola,Ganga Ihala Korale,"Giriulla Maha Vidyalaya, Meethalawa",1C,260.0,Central Province,Kandy District,Provincial schools,
Gampola,Ganga Ihala Korale,"Craghead Number 01 Tamil Maha Vidyalayam, Udahentenna",1C,370.0,Central Province,Kandy District,Provincial schools,
Katugastota,Tumpane,"Idamegama Maha Vidyalaya, Warrallagama",1C,665.0,Central Province,Kandy District,Provincial schools,
Katugastota,Tumpane,"Uduwa Maha Vidyalaya, Uduwa",1C,307.0,Central Province,Kandy District,Provincial schools,
Katugastota,Tumpane,"Galabawa Maha Vidyalaya, Kahapathwala",1C,227.0,Central Province,Kandy District,Provincial schools,
Katugastota,Tumpane,"Girihagama Maha Vidyalaya, Kumburegama",1C,184.0,Central Province,Kandy District,Provincial schools,
Katugastota,Tumpane,"Minigamuwa Maha Vidyalaya, Minigamuwa",1C,253.0,Central Province,Kandy District,Provincial schools,
Katugastota,Akurana,"Zahira Central College, Akurana",1C,1201.0,Central Province,Kandy District,Provincial schools,
Katugastota,Thumpane,"Sujatha Balika National School, Galagedara",1C,891.0,Central Province,Kandy District,Provincial schools,
Katugastota,Tumpane,"Medagama Maha Vidyalaya, Poholiyadda",1C,233.0,Central Province,Kandy District,Provincial schools,
Katugastota,Harispattuwa,"Dharmavijaya Maha Vidyalaya, Gohugoda",1C,742.0,Central Province,Kandy District,Provincial schools,
Katugastota,Harispattuwa,"Ananda College, Medawala",1C,869.0,Central Province,Kandy District,Provincial schools,
Katugastota,Harispattuwa,"Halloluwa Maha Vidyalaya, Halloluwa",1C,288.0,Central Province,Kandy District,Provincial schools,
Katugastota,Harispattuwa,"Premaratana Maha Vidyalaya, Kalugammana",1C,409.0,Central Province,Kandy District,Provincial schools,
Katugastota,Harispattuwa,"Doranegama Maha Vidyalaya, Medawala",1C,75.0,Central Province,Kandy District,Provincial schools,
Katugastota,Harispattuwa,"Janaraja Maha Vidyalaya, Ranawana",1C,297.0,Central Province,Kandy District,Provincial schools,
Katugastota,Harispattuwa,"Kurundugolla Muslim Maha Vidyalaya, Warallagama",1C,334.0,Central Province,Kandy District,Provincial schools,
Katugastota,Harispattuwa,"Meera Muslim Maha Vidyalaya, Uguressapitiya",1C,475.0,Central Province,Kandy District,Provincial schools,
Katugastota,Harispattuwa,"Inigala Muslim Maha Vidyalaya, Inigala",1C,261.0,Central Province,Kandy District,Provincial schools,
Katugastota,Hataraliyadda,"Aludeniya Maha Vidyalaya, Aludeniya",1C,264.0,Central Province,Kandy District,Provincial schools,
Katugastota,Hataraliyadda,"Dedunupitiya Maha Vidyalaya, Dedunupitiya",1C,404.0,Central Province,Kandy District,Provincial schools,
Katugastota,Hataraliyadda,"Sangharajapura Maha Vidyalaya, Sangharajapura",1C,326.0,Central Province,Kandy District,Provincial schools,
Katugastota,Hataraliyadda,"Palena Maha Vidyalaya, Hataraliyadda",1C,232.0,Central Province,Kandy District,Provincial schools,
Katugastota,Hataraliyadda,"Muruddeniya Maha Vidyalaya, Sangharajapura",1C,146.0,Central Province,Kandy District,Provincial schools,
Katugastota,Hataraliyadda,"Dehideniya Muslim Maha Vidyalaya, Dehideniya",1C,386.0,Central Province,Kandy District,Provincial schools,
Katugastota,Poojapitiya,"Pushpadana Maha Vidyalaya, Ambatenna",1C,527.0,Central Province,Kandy District,Provincial schools,
Katugastota,Poojapitiya,"Dolapihilla Maha Vidyalaya, Dolapihilla",1C,499.0,Central Province,Kandy District,Provincial schools,
Katugastota,Poojapitiya,"Jamaliya Muslim Maha Vidyalaya, Batagolladeniya",1C,361.0,Central Province,Kandy District,Provincial schools,
Katugastota,Poojapitiya,"Sri Devananda Maha Vidyalaya, Udagama",1C,434.0,Central Province,Kandy District,Provincial schools,
Katugastota,Poojapitiya,"Parakrama National School, Ankumbura",1C,664.0,Central Province,Kandy District,Provincial schools,
